dataset,partition_method,partition_seed,logical_shards,physical_core_equivalents,m32_capacity_fraction,relevant_query_shard_pairs,ef_search,local_target_recall_mean,local_target_recall_median,local_target_recall_p95,local_target_recall_std,local_target_recall_target_weighted,distance_computations_mean,distance_computations_median,distance_computations_p95,distance_computations_std,graph_nodes_visited_mean,graph_nodes_visited_median,graph_nodes_visited_p95,graph_nodes_visited_std,worker_cpu_us_mean,worker_cpu_us_median,worker_cpu_us_p95,worker_cpu_us_std,local_latency_us_mean,local_latency_us_median,local_latency_us_p95,local_latency_us_std
sift1m,kmeans,20260820,4,4,0.125,11006,40,0.9671419485475456,1.0,1.0,0.08403279250923354,0.9646444444444444,1182.3703434490278,1214.0,1584.0,275.8977872240059,50.49582046156642,50.0,54.0,2.2155207995731145,208.06078502634927,196.0,336.0,66.97837081128787,4273.033399327639,3890.901,7951.4,1981.728474780233
sift1m,kmeans,20260820,4,4,0.125,11006,80,0.9903482299698,1.0,1.0,0.04553671246850663,0.9897555555555556,1994.7437761221152,2060.5,2695.0,491.12423325317724,90.03934217699437,90.0,93.0,1.9321576596228467,349.03198255497,332.0,565.0,115.60179225407856,4381.238282664001,4018.625,8075.342,1938.1508468438967
sift1m,kmeans,20260820,4,4,0.125,11006,160,0.9976413658927743,1.0,1.0,0.022137582721031397,0.9975444444444445,3419.728239142286,3532.5,4696.0,891.0556132795799,169.80883154642922,170.0,173.0,1.8416749040670326,621.2252407777576,589.0,1021.75,214.3360121337793,4679.093937216064,4354.9405,8260.2435,1908.8022511261818
sift1m,kmeans,20260820,4,4,0.125,11006,320,0.9992954780797776,1.0,1.0,0.009778070722850168,0.9992222222222222,5843.417862983827,6002.0,8180.75,1590.7018502132523,329.6963474468472,330.0,333.0,1.828291235858936,1162.476830819553,1095.0,1914.0,418.94655075856673,5461.531851172089,5022.0555,10179.048999999999,2449.502224508336
sift1m,kmeans,20260820,8,8,0.25,14067,10,0.8219353581104488,0.9,1.0,0.2398111836488759,0.8142222222222222,475.72268429658067,473.0,676.0,117.83711546757662,21.350536717139406,21.0,26.0,2.6513811143075445,99.09092201606597,90.0,163.0,33.33385232133987,4880.838834435203,4433.92,9439.364499999998,2425.992253650097
sift1m,kmeans,20260820,8,8,0.25,14067,16,0.8935710167102788,1.0,1.0,0.1876254281634517,0.8890555555555556,615.3759152626715,618.0,849.6999999999989,144.42456205175904,26.992677898627996,27.0,32.0,2.6233451363717646,120.64740172033838,110.0,195.0,38.759018848348674,5004.921315205801,4559.045,9589.855399999999,2417.0652137844722
sift1m,kmeans,20260820,8,8,0.25,14067,20,0.920347802636137,1.0,1.0,0.16220277126844168,0.9164333333333333,704.9085092770314,713.0,957.6999999999989,161.59523351907953,30.761569631051398,30.0,35.0,2.5209480578057764,134.9823700860169,124.0,214.0,42.018517506554076,5003.069289969431,4571.228,9641.618699999999,2453.701937869413
sift1m,kmeans,20260820,8,8,0.25,14067,24,0.9389176627500364,1.0,1.0,0.14037302067658883,0.9351444444444444,792.9687211203526,804.0,1067.699999999999,178.72620191937915,34.56479704272411,34.0,39.0,2.4239288299956003,152.14857467832516,141.0,243.0,47.198477448657265,11812.589707684652,10378.513,25102.949099999998,7055.2865440887335
sift1m,kmeans,20260820,8,8,0.25,14067,32,0.9616505927979591,1.0,1.0,0.1092803952571931,0.9589555555555556,963.3109404990403,981.0,1284.0,215.0296502253258,42.21290964669084,42.0,46.0,2.226994272785353,176.24298002417004,162.0,277.0,53.90328686231995,4998.1379331769385,4570.637,9578.378799999999,2389.2491378004147
sift1m,kmeans,20260820,8,8,0.25,14067,40,0.9733811600041073,1.0,1.0,0.09002065518300269,0.9714777777777778,1130.2131940001423,1155.0,1507.0,253.970131004269,50.00241700433639,50.0,54.0,2.097534966084816,203.73988768038672,189.0,318.6999999999989,61.852193494846034,5085.140777137983,4638.764,9632.980899999997,2419.63213340833
