ef_search_up,dynamic_ef_base,dynamic_ef_factor,qps,recall_at_10,avg_visited_shards,avg_total_hops,avg_l0_hops_per_visited_shard,avg_distance_computations,started_at_epoch
100.0,28.0,6.0,1055.92,0.91018,16.3272,1281.01,91.4425,35237.6,1776411442.6580186
100.0,28.0,8.0,1005.45,0.91938,16.3272,1498.8,111.462,39556.8,1776411442.6580186
100.0,28.0,10.0,908.637,0.9265,16.3272,1716.68,131.485,43672.3,1776411442.6580186
120.0,8.0,2.0,2255.28,0.84754,18.1684,588.819,31.7348,18184.2,1776411442.6580186
120.0,8.0,4.0,1500.27,0.88498,18.1684,855.915,52.9301,24546.5,1776411442.6580186
120.0,8.0,6.0,1332.48,0.90394,18.1684,1121.39,74.0753,30363.6,1776411442.6580186
120.0,8.0,8.0,1194.18,0.91596,18.1684,1385.81,95.1821,35783.7,1776411442.6580186
120.0,8.0,10.0,1026.35,0.92554,18.1684,1649.74,116.261,40904.6,1776411442.6580186
120.0,12.0,2.0,2062.24,0.85594,18.1684,668.032,36.0372,20596.1,1776411442.6580186
120.0,12.0,4.0,1557.29,0.88962,18.1684,933.272,57.1538,26815.6,1776411442.6580186
120.0,12.0,6.0,1268.76,0.90802,18.1684,1197.28,78.2295,32523.9,1776411442.6580186
120.0,12.0,8.0,1066.26,0.91874,18.1684,1461.0,99.2999,37868.6,1776411442.6580186
120.0,12.0,10.0,1098.11,0.92792,18.1684,1724.27,120.351,42925.5,1776411442.6580186
120.0,16.0,2.0,2098.51,0.86314,18.1684,745.355,40.2549,22895.0,1776411442.6580186
120.0,16.0,4.0,1686.41,0.89384,18.1684,1008.99,61.2946,28995.8,1776411442.6580186
120.0,16.0,6.0,1420.98,0.91086,18.1684,1272.06,82.3295,34612.8,1776411442.6580186
120.0,16.0,8.0,1222.23,0.92148,18.1684,1535.07,103.361,39889.4,1776411442.6580186
120.0,16.0,10.0,1083.96,0.92992,18.1684,1797.53,124.379,44878.9,1776411442.6580186
120.0,20.0,2.0,1924.85,0.86938,18.1684,820.704,44.3733,25093.3,1776411442.6580186
120.0,20.0,4.0,1571.63,0.89794,18.1684,1083.32,65.3629,31093.2,1776411442.6580186
120.0,20.0,6.0,1338.78,0.91358,18.1684,1345.87,86.3791,36641.0,1776411442.6580186
120.0,20.0,8.0,1176.24,0.92386,18.1684,1608.24,107.386,41854.7,1776411442.6580186
120.0,20.0,10.0,1056.08,0.93202,18.1684,1870.5,128.387,46798.8,1776411442.6580186
120.0,24.0,2.0,1810.61,0.87468,18.1684,894.838,48.4287,27218.5,1776411442.6580186
120.0,24.0,4.0,1470.82,0.9019,18.1684,1156.87,69.4029,33133.9,1776411442.6580186
120.0,24.0,6.0,1292.66,0.91624,18.1684,1418.72,90.3825,38615.5,1776411442.6580186
120.0,24.0,8.0,1130.77,0.92576,18.1684,1680.75,111.372,43777.2,1776411442.6580186
120.0,24.0,10.0,1013.6,0.93358,18.1684,1943.11,132.38,48686.7,1776411442.6580186
120.0,28.0,2.0,1663.52,0.87976,18.1684,968.098,52.4416,29283.0,1776411442.6580186
120.0,28.0,4.0,1421.42,0.90444,18.1684,1229.31,73.3909,35119.9,1776411442.6580186
120.0,28.0,6.0,1214.14,0.91836,18.1684,1491.21,94.3695,40554.3,1776411442.6580186
120.0,28.0,8.0,1088.18,0.92794,18.1684,1753.12,115.353,45669.4,1776411442.6580186
120.0,28.0,10.0,1002.3,0.9349,18.1684,2014.93,136.331,50528.1,1776411442.6580186
140.0,8.0,2.0,2380.97,0.85468,19.7202,667.079,32.6899,20365.7,1776412196.5768912
140.0,8.0,4.0,1895.81,0.89178,19.7202,975.742,54.8242,27623.8,1776412196.5768912
140.0,8.0,6.0,1562.14,0.91144,19.7202,1282.4,76.8855,34229.8,1776412196.5768912
140.0,8.0,8.0,1335.61,0.92408,19.7202,1587.9,98.9042,40381.7,1776412196.5768912
140.0,8.0,10.0,1166.58,0.93272,19.7202,1892.72,120.896,46181.9,1776412196.5768912
140.0,12.0,2.0,2234.25,0.86306,19.7202,753.263,37.0142,22982.6,1776412196.5768912
140.0,12.0,4.0,1763.89,0.89648,19.7202,1059.48,59.0383,30070.8,1776412196.5768912
140.0,12.0,6.0,1459.33,0.91494,19.7202,1364.79,81.0452,36566.4,1776412196.5768912
140.0,12.0,8.0,1256.81,0.92634,19.7202,1669.03,103.006,42622.3,1776412196.5768912
140.0,12.0,10.0,1117.25,0.93448,19.7202,1973.17,124.968,48350.4,1776412196.5768912
