dataset,logical_shards,metric,difference_definition,favorable_direction,orion_mean,kmeans_mean,mean_difference,relative_difference_vs_kmeans,bootstrap_ci95_low,bootstrap_ci95_high,paired_query_count,bootstrap_replicates,bootstrap_seed,conclusion
sift1m,8,total_worker_cpu_us,Orion minus K-Means,lower_favors_orion,1001.2034444444445,1047.9354444444446,-46.732,-0.04459435001244245,-49.60140277777778,-43.85516388888889,9000,10000,20261635,ORION_FAVORED
sift1m,8,total_response_bytes,Orion minus K-Means,lower_favors_orion,5991.524444444444,5991.986444444445,-0.462,-7.710297816650601e-05,-0.7491166666666667,-0.177,9000,10000,20261636,ORION_FAVORED
sift1m,16,achieved_recall_at_10,Orion minus K-Means,higher_favors_orion,0.9418333333333333,0.9469777777777777,-0.0051444444444444445,-0.0054324869761111375,-0.006977777777777777,-0.003244444444444444,9000,10000,20262424,KMEANS_FAVORED
sift1m,16,common_ef_mean_local_target_recall,Orion minus K-Means,higher_favors_orion,0.9480489109347444,0.9497294312169312,-0.00168052028218695,-0.001769472680270236,-0.003764139660493828,0.00040763337742504236,9000,10000,20262425,INCONCLUSIVE
sift1m,16,common_ef_target_weighted_recall,Orion minus K-Means,higher_favors_orion,0.9418333333333333,0.9469777777777777,-0.0051444444444444445,-0.0054324869761111375,-0.006988888888888889,-0.003311111111111111,9000,10000,20262426,KMEANS_FAVORED
sift1m,16,common_ef_mean_relevant_distance_computations,Orion minus K-Means,lower_favors_orion,732.8746875661377,742.0053074074073,-9.130619841269842,-0.012305329557779783,-10.931434365079365,-7.316969814814816,9000,10000,20262427,ORION_FAVORED
sift1m,16,P_exact,Orion minus K-Means,lower_favors_orion,1.6437777777777778,1.6102222222222222,0.033555555555555554,0.02083908363234888,0.016888888888888887,0.050555555555555555,9000,10000,20262428,KMEANS_FAVORED
sift1m,16,P_HNSW,Orion minus K-Means,lower_favors_orion,3.865222222222222,3.599,0.26622222222222225,0.07397116482973666,0.156775,0.37355833333333327,9000,10000,20262429,KMEANS_FAVORED
sift1m,16,Delta_P,Orion minus K-Means,lower_favors_orion,2.2214444444444443,1.9887777777777778,0.23266666666666666,0.11698977596513771,0.12488611111111111,0.3427777777777778,9000,10000,20262430,KMEANS_FAVORED
sift1m,16,W90,Orion minus K-Means,lower_favors_orion,2452.7167777777777,2475.177,-22.46022222222222,-0.009074188319551377,-86.83091666666667,42.82923888888887,9000,10000,20262431,INCONCLUSIVE
sift1m,16,full_fanout_wall_us,Orion minus K-Means,lower_favors_orion,88250.11328577778,87665.78726244444,584.3260233333334,0.0066653827174795195,209.66041989722237,955.1548065166667,9000,10000,20262432,KMEANS_FAVORED
sift1m,16,total_distance_computations,Orion minus K-Means,lower_favors_orion,9419.216444444444,10625.386,-1206.1695555555555,-0.1135177164910108,-1220.28785,-1192.3534027777778,9000,10000,20262433,ORION_FAVORED
sift1m,16,total_graph_nodes_visited,Orion minus K-Means,lower_favors_orion,536.7592222222222,543.4152222222223,-6.656,-0.01224846071256745,-7.080672222222222,-6.225208333333334,9000,10000,20262434,ORION_FAVORED
sift1m,16,total_worker_cpu_us,Orion minus K-Means,lower_favors_orion,1805.2276666666667,2023.0217777777777,-217.7941111111111,-0.10765781837027513,-220.53316388888888,-214.97883333333334,9000,10000,20262435,ORION_FAVORED
sift1m,16,total_response_bytes,Orion minus K-Means,lower_favors_orion,11929.349555555556,11950.252,-20.902444444444445,-0.001749121645672781,-21.289555555555555,-20.52461666666667,9000,10000,20262436,ORION_FAVORED
sift1m,32,achieved_recall_at_10,Orion minus K-Means,higher_favors_orion,0.9514777777777776,0.9571111111111111,-0.005633333333333334,-0.005885767355467844,-0.007455555555555555,-0.00384416666666667,9000,10000,20264024,KMEANS_FAVORED
sift1m,32,common_ef_mean_local_target_recall,Orion minus K-Means,higher_favors_orion,0.9564774118165783,0.9606917768959435,-0.00421436507936508,-0.004386802490369973,-0.006318068231922399,-0.00220045921516755,9000,10000,20264025,KMEANS_FAVORED
sift1m,32,common_ef_target_weighted_recall,Orion minus K-Means,higher_favors_orion,0.9514777777777776,0.9571111111111111,-0.005633333333333334,-0.005885767355467844,-0.007366666666666666,-0.0038666666666666654,9000,10000,20264026,KMEANS_FAVORED
sift1m,32,common_ef_mean_relevant_distance_computations,Orion minus K-Means,lower_favors_orion,685.4248562169312,699.3353619047618,-13.910505687830687,-0.019891037184138663,-15.703404361772487,-12.10667996693122,9000,10000,20264027,ORION_FAVORED
sift1m,32,P_exact,Orion minus K-Means,lower_favors_orion,1.9717777777777779,1.8714444444444445,0.10033333333333333,0.05361277682123137,0.07910833333333334,0.12155555555555556,9000,10000,20264028,KMEANS_FAVORED
sift1m,32,P_HNSW,Orion minus K-Means,lower_favors_orion,5.596555555555556,4.793666666666667,0.8028888888888889,0.1674895116241337,0.5872194444444444,1.0141111111111112,9000,10000,20264029,KMEANS_FAVORED
