dataset,partition_method,partition_seed,logical_shards,local_recall_threshold,query_shard_pair_count,success_count,success_fraction,required_ef_search_mean,required_ef_search_median,required_ef_search_p95,required_ef_search_std,required_distance_computations_mean,required_distance_computations_median,required_distance_computations_p95,required_distance_computations_std,required_graph_nodes_visited_mean,required_graph_nodes_visited_median,required_graph_nodes_visited_p95,required_graph_nodes_visited_std
glove-200-angular,random,20260820,2,0.9,17984,14233,0.7914257117437722,68.32389517318907,20.0,320.0,94.49222826064451,3112.0450361835174,1317.0,12952.999999999996,3735.5721417063774,82.46595939014965,35.0,330.0,94.15395014956019
glove-200-angular,random,20260820,2,0.95,17984,14232,0.7913701067615658,68.34668353007308,20.0,320.0,94.51222869663818,3112.6661748173133,1317.5,12953.499999999989,3735.9975379595,82.4880550871276,35.0,330.0,94.17382387949904
glove-200-angular,random,20260820,4,0.8,33994,30896,0.9088662705183268,52.054440704298294,10.0,320.0,83.13402395128584,2591.587163386846,1036.0,12489.5,3455.5077972545896,65.89765665458312,28.0,328.0,82.62736829213229
glove-200-angular,random,20260820,4,0.9,33994,30625,0.9008942754603754,53.14625306122449,10.0,320.0,84.19283326570849,2623.335085714286,1047.0,12555.799999999996,3479.345615327865,66.92793469387755,28.0,329.0,83.64245967003168
glove-200-angular,random,20260820,4,0.95,33994,30625,0.9008942754603754,53.14625306122449,10.0,320.0,84.19283326570849,2623.335085714286,1047.0,12555.799999999996,3479.345615327865,66.92793469387755,28.0,329.0,83.64245967003168
glove-200-angular,random,20260820,8,0.8,53165,51026,0.9597667638483965,41.346019676243486,10.0,160.0,71.28463323450553,2149.832614745424,928.0,8189.25,2964.0213801591544,54.57445224003449,25.0,177.0,70.7984245443514
glove-200-angular,random,20260820,8,0.9,53165,51004,0.9593529577729709,41.46768880872089,10.0,160.0,71.46839268838796,2154.2062779389853,928.0,8197.0,2970.5762524270617,54.69280840718375,25.0,177.0,70.97887022261935
glove-200-angular,random,20260820,8,0.95,53165,51004,0.9593529577729709,41.46768880872089,10.0,160.0,71.46839268838796,2154.2062779389853,928.0,8197.0,2970.5762524270617,54.69280840718375,25.0,177.0,70.97887022261935
glove-200-angular,random,20260820,16,0.8,68486,67580,0.9867710188943726,32.34788398934596,10.0,160.0,58.85701913536395,1738.1092778928678,855.0,7235.049999999996,2383.9483161376897,41.94992601361349,20.0,166.0,58.408712988970805
glove-200-angular,random,20260820,16,0.9,68486,67578,0.9867418158455743,32.35183047737429,10.0,160.0,58.86641964970253,1738.2163573944183,855.0,7235.149999999994,2384.206979710335,41.95346118559294,20.0,166.0,58.41788082795848
glove-200-angular,random,20260820,16,0.95,68486,67578,0.9867418158455743,32.35183047737429,10.0,160.0,58.86641964970253,1738.2163573944183,855.0,7235.149999999994,2384.206979710335,41.95346118559294,20.0,166.0,58.41788082795848
glove-200-angular,random,20260820,32,0.8,78296,78048,0.9968325329518749,25.039052890528904,10.0,80.0,44.95110108108451,1365.0212817753177,786.0,4191.0,1689.5582132759478,33.93147806478065,19.0,93.0,44.61490208227767
glove-200-angular,random,20260820,32,0.9,78296,78048,0.9968325329518749,25.039052890528904,10.0,80.0,44.95110108108451,1365.0212817753177,786.0,4191.0,1689.5582132759478,33.93147806478065,19.0,93.0,44.61490208227767
glove-200-angular,random,20260820,32,0.95,78296,78048,0.9968325329518749,25.039052890528904,10.0,80.0,44.95110108108451,1365.0212817753177,786.0,4191.0,1689.5582132759478,33.93147806478065,19.0,93.0,44.61490208227767
sift1m,common_m1,,1,0.8,9000,9000,1.0,16.538222222222224,10.0,40.0,16.535809127653014,719.8692222222222,588.0,1475.0499999999993,487.42432678480185,29.177777777777777,24.0,51.0,16.6672051764854
sift1m,common_m1,,1,0.9,9000,8999,0.9998888888888889,24.26491832425825,16.0,80.0,28.99270600171374,910.3404822758084,665.0,2518.0,777.6104102178379,36.59195466162907,27.0,91.0,28.64148504875654
sift1m,common_m1,,1,0.95,9000,8961,0.9956666666666667,45.36792768664212,24.0,160.0,54.60088006051946,1393.2562214038612,889.0,4346.0,1353.3704991747695,57.01216382100212,36.0,170.0,53.97767404384858
sift1m,kmeans,20260820,2,0.8,9026,9026,1.0,16.473520939508088,10.0,40.0,16.553320742333042,712.6407046310658,581.0,1474.0,492.4366557624687,28.620097496122312,24.0,51.0,16.761119033913673
sift1m,kmeans,20260820,2,0.9,9026,9026,1.0,24.25858630622646,16.0,80.0,29.404715965706075,903.9181254154664,659.0,2510.75,789.0721211491197,36.08597385331265,27.0,90.0,29.110144986509244
sift1m,kmeans,20260820,2,0.95,9026,8985,0.9954575670285841,45.116750139120754,24.0,160.0,54.36559860362783,1382.824040066778,877.0,4345.799999999999,1352.7799238622756,56.27000556483027,35.0,170.0,53.75989092931924
sift1m,kmeans,20260820,4,0.8,11006,11003,0.9997274214065055,16.457511587748797,10.0,40.0,18.385505175806205,680.2282104880487,553.0,1404.0,492.62963038863313,28.507679723711714,23.0,51.0,18.49830345874697
sift1m,kmeans,20260820,4,0.9,11006,11001,0.999545702344176,23.959640032724298,10.0,80.0,30.975554283999987,856.8660121807109,609.0,2411.0,778.4841539184896,35.73411508044723,26.0,91.0,30.669363862049412
sift1m,kmeans,20260820,4,0.95,11006,10975,0.9971833545338906,36.87872437357631,16.0,160.0,48.364588772364534,1143.7975398633257,718.0,3711.7999999999956,1166.713980371345,48.22888382687927,30.0,169.0,47.89310139434213
sift1m,kmeans,20260820,8,0.8,14067,14066,0.999928911637165,16.295179866344377,10.0,40.0,18.779930683402604,637.3341390587232,516.0,1307.5,467.1599110051459,27.823972700127968,22.0,50.0,18.810901201432667
sift1m,kmeans,20260820,8,0.9,14067,14060,0.999502381460155,23.236130867709814,10.0,80.0,32.08041554529767,790.7975817923186,561.0,2233.0499999999993,746.3266806291354,34.519985775248934,24.0,90.0,31.752729056889784
sift1m,kmeans,20260820,8,0.95,14067,14049,0.9987204094689699,28.674781123211616,16.0,80.0,39.08955596635506,903.3309844117019,597.0,2508.5999999999985,890.6985479170936,39.777208342230765,26.0,92.0,38.62648462399232
sift1m,kmeans,20260820,16,0.8,17269,17266,0.99982627830216,15.324684350747134,10.0,32.0,17.58348855662661,579.0949843623306,485.0,1133.0,397.0969536907418,24.74539557511873,20.0,45.0,17.762867061647235
sift1m,kmeans,20260820,16,0.9,17269,17263,0.9996525566043198,20.311185773040606,10.0,80.0,27.497076682659554,681.2421942883624,510.0,1847.8999999999978,581.0434689876924,29.566471644557726,21.0,87.0,27.39484270463247
sift1m,kmeans,20260820,16,0.95,17269,17253,0.9990734842781863,23.211267605633804,10.0,80.0,31.68467025174434,737.1990378484901,527.0,2074.399999999998,659.8691220576823,32.36729844085087,22.0,89.0,31.48745786635235
sift1m,kmeans,20260820,32,0.8,20750,20748,0.9999036144578314,14.207345286292655,10.0,32.0,15.594361614357878,518.4554655870445,451.5,951.6499999999978,314.7309343085131,21.969394640447273,18.0,39.0,15.619921678070831
