policy,config_id,config,query_count,recall_at_10,p5_per_query_recall,mean_shards_per_query,p95_shards_per_query,aggregate_distance_computations_per_query,p95_aggregate_distance_computations,max_shard_distance_computations_mean,p95_max_shard_distance_computations,p99_max_shard_distance_computations,aggregate_nodes_visited_per_query,p95_max_shard_nodes_visited,worker_cpu_time_us_per_query
P2,333a7cc558970c53,"{""policy"":""P2"",""fixed_p"":1,""alpha"":2,""beta"":8,""ef_min"":8,""ef_max"":512}",1000,0.9427000000000001,0.6,1.0,1.0,4006.337,5837.05,4006.337,5837.05,6292.16,191.965,208.0,990.824
P2,3002ab51f500319e,"{""policy"":""P2"",""fixed_p"":1,""alpha"":2,""beta"":16,""ef_min"":8,""ef_max"":512}",1000,0.9428,0.6,1.0,1.0,4139.743,6007.699999999999,4139.743,6007.699999999999,6486.139999999999,199.974,216.0,1012.254
P2,1a516bf36a436450,"{""policy"":""P2"",""fixed_p"":1,""alpha"":2,""beta"":32,""ef_min"":8,""ef_max"":512}",1000,0.9429,0.6,1.0,1.0,4403.813,6369.949999999999,4403.813,6369.949999999999,6917.08,215.973,232.0,1067.749
P2,6f2b595307ade4bd,"{""policy"":""P2"",""fixed_p"":1,""alpha"":2,""beta"":64,""ef_min"":8,""ef_max"":512}",1000,0.9428,0.6,1.0,1.0,4915.917,7125.0,4915.917,7125.0,7702.69,247.964,264.0,1198.269
P2,527c7c313aa2f396,"{""policy"":""P2"",""fixed_p"":1,""alpha"":4,""beta"":4,""ef_min"":8,""ef_max"":512}",1000,0.9439,0.6,1.0,1.0,6746.58,10049.1,6746.58,10049.1,10921.65,371.834,404.0,1708.326
P2,86830e995bf9b165,"{""policy"":""P2"",""fixed_p"":1,""alpha"":4,""beta"":8,""ef_min"":8,""ef_max"":512}",1000,0.9438,0.6,1.0,1.0,6802.937,10163.0,6802.937,10163.0,11017.67,375.836,408.0,1678.936
P2,6ccb6139c6d1ce6e,"{""policy"":""P2"",""fixed_p"":1,""alpha"":4,""beta"":16,""ef_min"":8,""ef_max"":512}",1000,0.9437000000000001,0.6,1.0,1.0,6914.912,10343.0,6914.912,10343.0,11226.19,383.85,416.0,1700.334
P2,334cc0a5e8aaaf21,"{""policy"":""P2"",""fixed_p"":1,""alpha"":4,""beta"":32,""ef_min"":8,""ef_max"":512}",1000,0.9437000000000001,0.6,1.0,1.0,7139.881,10625.8,7139.881,10625.8,11503.949999999999,399.842,432.0,1735.631
P2,7535a68ddcfbda1c,"{""policy"":""P2"",""fixed_p"":1,""alpha"":4,""beta"":64,""ef_min"":8,""ef_max"":512}",1000,0.9438,0.6,1.0,1.0,7578.222,11266.199999999999,7578.222,11266.199999999999,12195.419999999998,431.827,464.0,1845.112
P2,1aeb13f380d086bd,"{""policy"":""P2"",""fixed_p"":1,""alpha"":8,""beta"":4,""ef_min"":8,""ef_max"":512}",1000,0.9438,0.6,1.0,1.0,8595.152,12362.05,8595.152,12362.05,13288.31,507.782,513.0,2102.997
P2,a751d0d21c2139a0,"{""policy"":""P2"",""fixed_p"":1,""alpha"":8,""beta"":8,""ef_min"":8,""ef_max"":512}",1000,0.9438,0.6,1.0,1.0,8599.157,12362.05,8599.157,12362.05,13288.31,508.098,513.0,2104.913
P2,23760f545f1fbe57,"{""policy"":""P2"",""fixed_p"":1,""alpha"":8,""beta"":16,""ef_min"":8,""ef_max"":512}",1000,0.9438,0.6,1.0,1.0,8606.208,12362.05,8606.208,12362.05,13288.31,508.662,513.0,2101.411
P2,e9921c9f33866ecb,"{""policy"":""P2"",""fixed_p"":1,""alpha"":8,""beta"":32,""ef_min"":8,""ef_max"":512}",1000,0.9438,0.6,1.0,1.0,8618.196,12362.05,8618.196,12362.05,13288.31,509.606,513.0,2102.7
P2,0f950bbf810ce679,"{""policy"":""P2"",""fixed_p"":1,""alpha"":8,""beta"":64,""ef_min"":8,""ef_max"":512}",1000,0.9438,0.6,1.0,1.0,8634.04,12362.05,8634.04,12362.05,13288.31,510.893,513.0,2102.753
P2,a63cbbe053d19b74,"{""policy"":""P2"",""fixed_p"":1,""alpha"":16,""beta"":4,""ef_min"":8,""ef_max"":512}",1000,0.9438,0.6,1.0,1.0,8647.674,12362.05,8647.674,12362.05,13288.31,512.075,513.0,2108.076
P2,c39b4b3e12f7da50,"{""policy"":""P2"",""fixed_p"":1,""alpha"":16,""beta"":8,""ef_min"":8,""ef_max"":512}",1000,0.9438,0.6,1.0,1.0,8647.674,12362.05,8647.674,12362.05,13288.31,512.075,513.0,2108.076
