policy,config_id,config,query_count,recall_at_10,p5_per_query_recall,mean_shards_per_query,p95_shards_per_query,aggregate_distance_computations_per_query,p95_aggregate_distance_computations,max_shard_distance_computations_mean,p95_max_shard_distance_computations,p99_max_shard_distance_computations,aggregate_nodes_visited_per_query,p95_max_shard_nodes_visited,worker_cpu_time_us_per_query
P2,7c86f2634965d31f,"{""policy"":""P2"",""fixed_p"":13,""alpha"":16,""beta"":4,""ef_min"":8,""ef_max"":512}",1000,0.9262,0.6,13.0,13.0,28624.165,39694.45,11402.052,18331.4,20110.239999999998,929.784,512.0,9378.686
P2,a5c752016675901c,"{""policy"":""P2"",""fixed_p"":13,""alpha"":16,""beta"":8,""ef_min"":8,""ef_max"":512}",1000,0.9284,0.6,13.0,13.0,29459.419,41462.049999999996,11463.48,18343.0,20227.06,953.79,512.0,9623.031
P2,e15c3fb2b19b0209,"{""policy"":""P2"",""fixed_p"":13,""alpha"":16,""beta"":16,""ef_min"":8,""ef_max"":512}",1000,0.9322,0.6950000000000003,13.0,13.0,32867.496,45527.6,11583.008,18343.0,20273.79,1048.568,512.0,10587.46
P2,0c80fd6e139cba5e,"{""policy"":""P2"",""fixed_p"":13,""alpha"":16,""beta"":32,""ef_min"":8,""ef_max"":512}",1000,0.9388,0.7,13.0,13.0,40058.189,53406.75,11811.812,18609.95,20430.85,1254.584,512.0,12770.481
P2,0d1f5f655e4bac84,"{""policy"":""P2"",""fixed_p"":13,""alpha"":16,""beta"":64,""ef_min"":8,""ef_max"":512}",1000,0.947,0.7,13.0,13.0,53161.825,67873.7,12256.577,18914.8,20782.36,1648.596,513.0,16622.464
P2,62f96f194fa13c1d,"{""policy"":""P2"",""fixed_p"":14,""alpha"":1,""beta"":4,""ef_min"":8,""ef_max"":512}",1000,0.7491,0.2,14.0,14.0,9968.098,11640.25,1481.383,2307.05,2608.1099999999997,276.077,52.0,3833.635
P2,de1473e1ff12686b,"{""policy"":""P2"",""fixed_p"":14,""alpha"":1,""beta"":8,""ef_min"":8,""ef_max"":512}",1000,0.767,0.2,14.0,14.0,10379.316,11963.3,1609.683,2472.05,2871.4299999999994,287.283,56.0,3955.863
P2,63d4abd490bd21a9,"{""policy"":""P2"",""fixed_p"":14,""alpha"":1,""beta"":16,""ef_min"":8,""ef_max"":512}",1000,0.7957000000000001,0.3,14.0,14.0,14446.005,16429.899999999998,1929.519,2827.2,3136.09,394.392,64.0,5142.036
P2,3942a4206be11be8,"{""policy"":""P2"",""fixed_p"":14,""alpha"":1,""beta"":32,""ef_min"":8,""ef_max"":512}",1000,0.8349,0.4,14.0,14.0,22930.012,25901.75,2640.036,3493.0,3817.1,627.804,80.0,7625.677
P2,3388949374ea8a75,"{""policy"":""P2"",""fixed_p"":14,""alpha"":1,""beta"":64,""ef_min"":8,""ef_max"":512}",1000,0.8797,0.5,14.0,14.0,38084.584,43021.1,4059.774,4943.25,5323.03,1070.164,112.0,12092.801
P2,e31d7f90f81b17f4,"{""policy"":""P2"",""fixed_p"":14,""alpha"":2,""beta"":4,""ef_min"":8,""ef_max"":512}",1000,0.8065,0.3,14.0,14.0,11407.157,13318.3,2398.84,4015.05,4447.0599999999995,319.92,100.0,4257.655
P2,840b6e0c5cb52ec1,"{""policy"":""P2"",""fixed_p"":14,""alpha"":2,""beta"":8,""ef_min"":8,""ef_max"":512}",1000,0.8161,0.3,14.0,14.0,11998.471,13911.9,2525.611,4161.05,4625.04,336.06,104.0,4425.287
P2,be3003dbd88ee867,"{""policy"":""P2"",""fixed_p"":14,""alpha"":2,""beta"":16,""ef_min"":8,""ef_max"":512}",1000,0.8339,0.4,14.0,14.0,16090.782,18528.05,2796.462,4464.2,4938.18,444.816,112.0,5617.469
P2,50d86fde7746e27c,"{""policy"":""P2"",""fixed_p"":14,""alpha"":2,""beta"":32,""ef_min"":8,""ef_max"":512}",1000,0.86,0.4,14.0,14.0,24488.564,27831.35,3371.133,5069.4,5608.12,677.547,128.0,8083.327
P2,1a7cbc1a9a862f0b,"{""policy"":""P2"",""fixed_p"":14,""alpha"":2,""beta"":64,""ef_min"":8,""ef_max"":512}",1000,0.8923,0.5,14.0,14.0,39570.134,44972.95,4602.081,6326.05,6864.139999999999,1120.31,160.0,12519.642
P2,a45f4fbb91277d2c,"{""policy"":""P2"",""fixed_p"":14,""alpha"":4,""beta"":4,""ef_min"":8,""ef_max"":512}",1000,0.8513,0.4,14.0,14.0,14384.405,17039.5,4141.242,7053.3499999999985,7928.17,415.905,196.0,5122.222
P2,284d35ae03a66df1,"{""policy"":""P2"",""fixed_p"":14,""alpha"":4,""beta"":8,""ef_min"":8,""ef_max"":512}",1000,0.8569,0.4,14.0,14.0,15199.614,18192.0,4262.17,7132.749999999998,8051.19,438.379,200.0,5370.789
P2,8058de3b53f32d87,"{""policy"":""P2"",""fixed_p"":14,""alpha"":4,""beta"":16,""ef_min"":8,""ef_max"":512}",1000,0.8694,0.4,14.0,14.0,19182.486,22880.1,4500.245,7463.599999999998,8343.43,545.772,208.0,6526.364
P2,4e69af260d325418,"{""policy"":""P2"",""fixed_p"":14,""alpha"":4,""beta"":32,""ef_min"":8,""ef_max"":512}",1000,0.8895,0.5,14.0,14.0,27474.989,32010.25,4986.157,7998.599999999999,8951.16,778.221,224.0,8986.434
P2,acf012ba79afe5c9,"{""policy"":""P2"",""fixed_p"":14,""alpha"":4,""beta"":64,""ef_min"":8,""ef_max"":512}",1000,0.9105,0.6,14.0,14.0,42415.508,48789.25,5994.687,9122.599999999999,10017.55,1220.905,256.0,13396.633
P2,75ef6f8c4c33a3bd,"{""policy"":""P2"",""fixed_p"":14,""alpha"":8,""beta"":4,""ef_min"":8,""ef_max"":512}",1000,0.8917999999999999,0.5,14.0,14.0,20059.541,25172.6,7244.067,12356.699999999997,13924.55,615.277,388.0,6845.114
P2,a68289291e9f3fd1,"{""policy"":""P2"",""fixed_p"":14,""alpha"":8,""beta"":8,""ef_min"":8,""ef_max"":512}",1000,0.8962,0.5,14.0,14.0,20997.805,26681.249999999996,7347.813,12497.449999999999,13993.47,641.763,392.0,7123.677
P2,378fa9dff8db4e10,"{""policy"":""P2"",""fixed_p"":14,""alpha"":8,""beta"":16,""ef_min"":8,""ef_max"":512}",1000,0.906,0.6,14.0,14.0,24879.487,31031.05,7552.786,12732.499999999998,14252.34,748.68,400.0,8242.275
P2,192ccc34c2284d89,"{""policy"":""P2"",""fixed_p"":14,""alpha"":8,""beta"":32,""ef_min"":8,""ef_max"":512}",1000,0.9178999999999999,0.6,14.0,14.0,33009.88,40193.3,7979.188,13157.1,14731.71,980.133,416.0,10643.815
P2,6bb3df623658dfd2,"{""policy"":""P2"",""fixed_p"":14,""alpha"":8,""beta"":64,""ef_min"":8,""ef_max"":512}",1000,0.9312,0.6,14.0,14.0,47714.174,56249.1,8827.469,14120.049999999996,15697.099999999999,1421.92,448.0,15032.986
P2,9e4a9a724b659b8e,"{""policy"":""P2"",""fixed_p"":14,""alpha"":16,""beta"":4,""ef_min"":8,""ef_max"":512}",1000,0.9268,0.6,14.0,14.0,29319.478,40339.65,11402.052,18331.4,20110.239999999998,950.716,512.0,9650.115
P2,ac877b086bd1493e,"{""policy"":""P2"",""fixed_p"":14,""alpha"":16,""beta"":8,""ef_min"":8,""ef_max"":512}",1000,0.929,0.6,14.0,14.0,30154.78,42103.75,11463.48,18343.0,20227.06,974.723,512.0,9894.507
P2,9498a8e8d45d985f,"{""policy"":""P2"",""fixed_p"":14,""alpha"":16,""beta"":16,""ef_min"":8,""ef_max"":512}",1000,0.933,0.7,14.0,14.0,33819.605,46347.34999999999,11583.008,18343.0,20273.79,1076.327,512.0,10941.066
P2,0b906946be6eb699,"{""policy"":""P2"",""fixed_p"":14,""alpha"":16,""beta"":32,""ef_min"":8,""ef_max"":512}",1000,0.9401,0.7,14.0,14.0,41613.18,54977.9,11811.812,18609.95,20430.85,1299.113,512.0,13303.416
P2,bfb40e46057ae293,"{""policy"":""P2"",""fixed_p"":14,""alpha"":16,""beta"":64,""ef_min"":8,""ef_max"":512}",1000,0.9485,0.7,14.0,14.0,55760.443,70504.95,12256.577,18914.8,20782.36,1724.48,513.0,17471.878
P2,1193687189e9abe6,"{""policy"":""P2"",""fixed_p"":15,""alpha"":1,""beta"":4,""ef_min"":8,""ef_max"":512}",1000,0.75,0.2,15.0,15.0,10714.759,12580.849999999999,1488.935,2307.05,2608.1099999999997,297.388,52.0,4138.15
P2,24dec503a61eff7d,"{""policy"":""P2"",""fixed_p"":15,""alpha"":1,""beta"":8,""ef_min"":8,""ef_max"":512}",1000,0.7679,0.2,15.0,15.0,11125.977,12796.75,1615.804,2472.05,2871.4299999999994,308.594,56.0,4260.378
P2,3daf0f7153e26061,"{""policy"":""P2"",""fixed_p"":15,""alpha"":1,""beta"":16,""ef_min"":8,""ef_max"":512}",1000,0.7967000000000001,0.3,15.0,15.0,15484.667,17502.6,1936.665,2827.2,3136.09,422.786,64.0,5540.824
P2,b99189219b10150b,"{""policy"":""P2"",""fixed_p"":15,""alpha"":1,""beta"":32,""ef_min"":8,""ef_max"":512}",1000,0.8361000000000001,0.4,15.0,15.0,24641.49,27627.0,2656.424,3493.0,3817.1,673.153,80.0,8233.62
P2,ec0c52a9af27456a,"{""policy"":""P2"",""fixed_p"":15,""alpha"":1,""beta"":64,""ef_min"":8,""ef_max"":512}",1000,0.8815,0.5,15.0,15.0,40961.498,45657.35,4100.285,4972.05,5326.0,1147.035,112.0,13072.641
P2,33cceaded0a4133d,"{""policy"":""P2"",""fixed_p"":15,""alpha"":2,""beta"":4,""ef_min"":8,""ef_max"":512}",1000,0.8074,0.3,15.0,15.0,12153.818,14175.15,2400.429,4015.05,4447.0599999999995,341.231,100.0,4562.17
P2,4ba347c2f4a08944,"{""policy"":""P2"",""fixed_p"":15,""alpha"":2,""beta"":8,""ef_min"":8,""ef_max"":512}",1000,0.817,0.3,15.0,15.0,12745.132,14676.2,2526.781,4161.05,4625.04,357.371,104.0,4729.802
P2,1823095ad55acddc,"{""policy"":""P2"",""fixed_p"":15,""alpha"":2,""beta"":16,""ef_min"":8,""ef_max"":512}",1000,0.8349,0.4,15.0,15.0,17129.444,19453.2,2797.835,4464.2,4938.18,473.21,112.0,6016.257
P2,ddaef65407451f9a,"{""policy"":""P2"",""fixed_p"":15,""alpha"":2,""beta"":32,""ef_min"":8,""ef_max"":512}",1000,0.8612000000000001,0.4,15.0,15.0,26200.042,29625.45,3378.944,5069.4,5608.12,722.896,128.0,8691.27
