record_type,record_id,method,case_id,block_id,order_label,metric,value,n,mean,median,sample_standard_deviation,hash_all_value,orion_value,difference_orion_minus_hash_all,relative_difference_percent,statistic,degrees_of_freedom,p_value_two_sided,confidence_interval_95_low,confidence_interval_95_high,extreme_count,enumeration_count,input_path,sha256,size_bytes
input_file,07-hash/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,07-hash/run_manifest.json,37f2eaf642b70e8ddf32915f7c1247a044913dddd635cfe8be1009bdbdcee398,43788
input_file,08-orion/final_metrics.csv,,,,,,,,,,,,,,,,,,,,,,08-orion/final_metrics.csv,15926ba471fce37b3bc0f4b5d4672279061120cb44d5dd52fe66b48d48d8313e,473
input_file,08-orion/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,08-orion/run_manifest.json,3b118cb777995a9ac4665b7e9714380387c784aaa1979020faebfb6758a5dbdb,49187
input_file,09-hash/final_metrics.csv,,,,,,,,,,,,,,,,,,,,,,09-hash/final_metrics.csv,9afa94be2741a429c440fdc634d4c19df41ec64e6ef27f9e6138ee443a6f26c1,471
input_file,09-hash/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,09-hash/run_manifest.json,f80bb751eb6ecfa0788cd07f9f87b3d743050312be0ab0d1a07e4794045fd8b3,43788
input_file,10-orion/final_metrics.csv,,,,,,,,,,,,,,,,,,,,,,10-orion/final_metrics.csv,09d31050b94ac75f774614c92339453e64cb64598265ddca8db44757bf79ca8b,473
input_file,10-orion/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,10-orion/run_manifest.json,f2e6419cd505d11eed6f351d432d4ab925f1c724e02d9a0585fd4f846a413fe1,49187
input_file,11-orion/final_metrics.csv,,,,,,,,,,,,,,,,,,,,,,11-orion/final_metrics.csv,d0e381e531445fa39c3eeb34d2efcc99227e363d19a932eefa67426135a48718,473
input_file,11-orion/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,11-orion/run_manifest.json,ca28e0f4784bb37b02464b044bc7c2c2b42d409711b6310af0b419fe9ac580f1,49187
input_file,12-hash/final_metrics.csv,,,,,,,,,,,,,,,,,,,,,,12-hash/final_metrics.csv,7da759232947fc8597c3dc47cd7d564bb022341d4a137bd162d5b3a2c9d3e78e,471
input_file,12-hash/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,12-hash/run_manifest.json,7cd39c599b4f1719eece47f7770ab76eb721ec94c2c90e8bfb9201150801d0c3,43788
