record_type,record_id,method,case_id,block_id,order_label,metric,value,n,mean,median,sample_standard_deviation,hash_all_value,orion_value,difference_orion_minus_hash_all,relative_difference_percent,statistic,degrees_of_freedom,p_value_two_sided,confidence_interval_95_low,confidence_interval_95_high,extreme_count,enumeration_count,input_path,sha256,size_bytes
input_file,07-hash/final_metrics.csv,,,,,,,,,,,,,,,,,,,,,,07-hash/final_metrics.csv,857a9ff1e57f1106aa38e174a0178e851482f5ca39eaeb493cfe1b2ecdcbd486,469
input_file,07-hash/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,07-hash/run_manifest.json,db819441d3985153577806dce77fca74a7eb372826590d27c282a3976a22bdd8,43773
input_file,08-orion/final_metrics.csv,,,,,,,,,,,,,,,,,,,,,,08-orion/final_metrics.csv,3a0184546e84695ff35806c1e659393d34ef32f331e09cd49b0eddcee301dcf5,474
input_file,08-orion/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,08-orion/run_manifest.json,6166403c9e9ba6ed7ff53b78bbff84b66c6f85238a14613040369249144e9f01,49172
input_file,09-hash/final_metrics.csv,,,,,,,,,,,,,,,,,,,,,,09-hash/final_metrics.csv,71d73b0aac70dfd8d8034360a92f679b19a6cac6e41b54e4eb1e754134635c66,470
input_file,09-hash/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,09-hash/run_manifest.json,df66abcb77df955f48ab97759aa46e9391490fb84d9925d90356c90401aac1d6,43773
input_file,10-orion/final_metrics.csv,,,,,,,,,,,,,,,,,,,,,,10-orion/final_metrics.csv,390539ef290c5d900c8665bb76a48dc299c7e797d89313a1358c2f596fb2cd32,473
input_file,10-orion/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,10-orion/run_manifest.json,885974f91e633174a7f0f59329257eb69d78ff559e7c5df96a4c85be3b253777,49172
input_file,11-orion/final_metrics.csv,,,,,,,,,,,,,,,,,,,,,,11-orion/final_metrics.csv,055af74b884795c3e810d1cf6fc349d6328e96a67f9df40dadca81b0e495da94,471
input_file,11-orion/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,11-orion/run_manifest.json,46a22f59c8d696fad1339a218d3c1cdd1003e9d1b270c75e518a4c8559934044,49172
input_file,12-hash/final_metrics.csv,,,,,,,,,,,,,,,,,,,,,,12-hash/final_metrics.csv,b341841fa409311277bdf3bd743d309bf7809f984c360402f5d68c9cd991fcb0,470
input_file,12-hash/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,12-hash/run_manifest.json,cd49f7ee49e3b508892e792deee5eeea20e1ca35da1c219a1197b0d3747e57dc,43773
